;date;c_1;c_2;flow_pred;flow_true
134;2019-01-01;EL;BG;0.00010255566699999999;0.0001025556666666675
137;2019-01-01;NO;FR;0.158348648167;0.1583486481666679
228;2019-01-01;CZ;SK;0.0;0.0
232;2019-01-01;AT;SK;0.045548933454;0.0
62;2019-01-01;LT;LV;0.0;0.0
61;2019-01-01;BE;UK;0.040570827417;0.026769727833333548
109;2019-01-01;SE;DK;0.0;0.0
59;2019-01-01;CZ;DE;0.261145687691;0.2648769975000021
236;2019-01-01;HU;HU;0.0;0.0
224;2019-01-01;DK;SE;0.014646363389000001;0.011807395833333428
158;2019-01-01;DE;LU;0.003565158833;0.003565158833333362
244;2019-01-01;RU;HU;0.084030162175;0.10859835450000088
111;2019-01-01;BG;TR;0.062693898333;0.06269389833333383
53;2019-01-01;RO;BG;0.128530275019;0.0044233878333333684
52;2019-01-01;BE;DE;4.8579e-05;4.857900000000038e-05
155;2019-01-01;LV;LT;0.000777015707;0.0008258430000000067
254;2019-01-01;PT;ES;0.0038647293330000003;0.0038647293333333634
95;2019-01-01;IT;AT;0.0;0.0
154;2019-01-01;DE;CZ;0.307766856833;0.30776685683333577
242;2019-01-01;IR;TR;0.0851994695;0.0851994695000007
107;2019-01-01;DK;DE;0.0;0.001503250166666679
106;2019-01-01;DE;NL;0.143359295447;0.21555851716666838
209;2019-01-01;SI;HR;0.000483091167;0.00048309116666667043
177;2019-01-01;HR;SI;0.0;0.0
172;2019-01-01;UK;IE;0.0;0.027493015166666884
92;2019-01-01;BE;LU;0.008158573167;0.008158573166666731
171;2019-01-01;NL;DE;0.28703711800000004;0.2870371180000023
185;2019-01-01;HU;RS;0.039888756667;0.029892278000000237
89;2019-01-01;SI;IT;0.0029552224999999997;0.0
88;2019-01-01;CH;FR;0.0;0.0
99;2019-01-01;NO;UK;0.407761330667;0.40776133066667
85;2019-01-01;AT;HU;0.044511858167;0.04451185816666702
169;2019-01-01;DE;FR;0.054851088667;0.0548510886666671
194;2019-01-01;CZ;PL;0.007759145833;0.007759145833333396
82;2019-01-01;BE;FR;0.115105241667;0.11510524166666757
195;2019-01-01;NO;DK;0.001565323333;0.0015653233333333457
196;2019-01-01;BG;EL;0.030477924833000002;0.030477924833333576
199;2019-01-01;RU;SK;0.4757098575;0.4757098575000038
202;2019-01-01;BE;NL;0.0;0.013815327833333443
204;2019-01-01;RU;DE;0.5396236285;0.5396236285000043
207;2019-01-01;LY;IT;0.043702208166999996;0.04370220816666701
208;2019-01-01;EE;LV;0.0;0.0
264;2019-01-01;HU;HR;0.01682549858;0.014862475166666785
44;2019-01-01;RU;FI;0.039718730167;0.036585384666666956
258;2019-01-01;PL;DE;0.23780253899700002;0.24600675483333528
174;2019-01-01;FR;BE;0.000356246;0.0003562460000000029
24;2019-01-01;SK;HU;0.0;0.0014033933333333446
327;2019-01-01;DZ;IT;0.178093312833;0.17809331283333474
6;2019-01-01;CH;DE;0.0;0.0
126;2019-01-01;RU;RO;0.15844058122500002;0.15857804900000125
267;2019-01-01;LV;EE;0.000717889667;0.0030874653333333576
302;2019-01-01;AT;SI;0.015774680833;0.01577468083333346
19;2019-01-01;NO;BE;0.1388306855;0.1388306855000011
319;2019-01-01;NO;NL;0.156345789973;0.20298465266666826
18;2019-01-01;DE;BE;0.035246763332999996;0.03524676333333362
309;2019-01-01;DE;AT;0.012301282333;0.01230128233333343
139;2019-01-01;AT;IT;0.28904386251299996;0.2855473620000023
127;2019-01-01;RO;HU;0.0;0.0
312;2019-01-01;DE;PL;0.005397666667;0.005397666666666709
13;2019-01-01;UK;UK;0.0;0.0
128;2019-01-01;RU;LT;0.049458819667;0.04945881966666707
11;2019-01-01;NL;BE;0.18107012599999997;0.18107012600000144
304;2019-01-01;SK;AT;0.418815752;0.4188157520000033
131;2019-01-01;AT;DE;0.03627232;0.03627232000000029
25;2019-01-01;NO;DE;0.227058246;0.22705824600000182
295;2019-01-01;HU;RO;0.014908355332999999;0.014908355333333454
42;2019-01-01;DE;DE;0.0;0.0
41;2019-01-01;BG;RO;0.0;0.0009095068333333405
332;2019-01-01;RU;PL;0.364196763;0.3641967630000029
269;2019-01-01;SK;CZ;0.026926260167;0.026926260166666886
117;2019-01-01;DE;DK;0.0015007456490000002;0.0
2;2019-01-01;DZ;ES;0.157852062833;0.1578520628333346
331;2019-01-01;PL;PL;0.0;0.0
147;2019-01-01;FR;ES;0.060648182667;0.060648182666667154
36;2019-01-01;ES;PT;0.003746444866;0.0124686100000001
276;2019-01-01;UK;BE;0.0;0.0
34;2019-01-01;RU;TR;0.127228401;0.12722840100000102
119;2019-01-01;CH;IT;0.067967418667;0.06796741866666721
150;2019-01-01;TR;EL;0.010733260167;0.010733260166666751
283;2019-01-01;IT;SI;0.0;0.0
121;2019-01-01;RU;EE;0.006960291167;0.0069602911666667225
289;2019-01-01;AZ;TR;0.079380784833;0.07938078483333397
149;2019-01-01;BG;MK;0.004423387833;0.0044233878333333684
9;2019-01-01;ES;FR;0.0;0.0
170;2019-02-01;SI;IT;0.001314655693;0.0
138;2019-02-01;DK;SE;0.011820889999999999;0.009408133000000075
153;2019-02-01;RU;LT;0.046449620500000004;0.04644962050000037
166;2019-02-01;LV;LT;0.0;0.0
165;2019-02-01;AT;IT;0.19279925566699999;0.19279925566666817
141;2019-02-01;NO;NL;0.072250434781;0.32779220016666927
144;2019-02-01;UK;UK;0.0;0.0
162;2019-02-01;HU;HU;0.0;0.0
151;2019-02-01;BE;LU;0.008390672833;0.008387974000000067
157;2019-02-01;LT;LV;0.001397963281;0.0004372110000000035
152;2019-02-01;BG;RO;0.0;5.397666666666709e-05
334;2019-02-01;RU;EE;0.002331792;0.0023317920000000187
163;2019-02-01;DZ;IT;0.117736604167;0.1177366041666676
0;2019-02-01;CH;IT;0.076296018333;0.07629601833333395
184;2019-02-01;DE;LU;0.0009580858329999999;0.0009580858333333411
275;2019-02-01;BE;NL;0.016612182793;0.03207563416666692
281;2019-02-01;DZ;ES;0.104633768333;0.10463376833333417
282;2019-02-01;RO;BG;0.075043738076;0.0027339181666666884
284;2019-02-01;SK;HU;0.002625964833;0.0026259648333333543
294;2019-02-01;AT;HU;0.038166900999999996;0.0381669010000003
297;2019-02-01;RU;HU;0.079018558219;0.11520509850000091
274;2019-02-01;ES;FR;0.0;0.0
298;2019-02-01;RU;DE;0.478808118167;0.47880811816667046
301;2019-02-01;AZ;TR;0.070628468333;0.07062846833333389
310;2019-02-01;DK;DE;0.0;0.0014357793333333447
318;2019-02-01;BG;EL;0.026680666332999998;0.026680666333333547
321;2019-02-01;PL;DE;0.221611546929;0.22177393033333512
324;2019-02-01;DE;NL;0.160561831839;0.34561259666666944
330;2019-02-01;CZ;PL;0.007617187199999999;0.006952194666666723
299;2019-02-01;CZ;SK;0.0045961131669999995;0.004596113166666703
268;2019-02-01;NO;BE;0.1280461475;0.128046147500001
265;2019-02-01;TR;EL;0.002568749567;0.0028094855000000227
259;2019-02-01;BE;UK;0.004542136499999999;0.004542136500000036
186;2019-02-01;DE;CZ;0.284546094833;0.2845460948333356
187;2019-02-01;NO;FR;0.149072758;0.14907275800000117
192;2019-02-01;RU;TR;0.104803794833;0.10480379483333417
197;2019-02-01;CZ;DE;0.214543755833;0.21454375583333504
200;2019-02-01;HR;SI;0.0;0.0
206;2019-02-01;IT;SI;0.0;0.0
211;2019-02-01;UK;IE;0.020386987;0.0203896858333335
213;2019-02-01;LV;EE;0.003179225667;0.003179225666666692
222;2019-02-01;AT;SI;0.013359224999999999;0.013359225000000108
229;2019-02-01;NL;BE;0.138628273;0.1386282730000011
233;2019-02-01;BE;FR;0.11224447833300001;0.11224447833333423
240;2019-02-01;AT;DE;0.020834993333000002;0.0208349933333335
245;2019-02-01;HU;RS;0.031193115667;0.030191848500000243
246;2019-02-01;NL;DE;0.23718966633299998;0.23718966633333521
250;2019-02-01;CH;DE;0.0;0.0
182;2019-02-01;BG;MK;0.002733918167;0.0027339181666666884
225;2019-02-01;DE;PL;0.0047526454999999995;0.004752645500000038
167;2019-02-01;DE;DE;0.0;0.0
335;2019-02-01;HU;RO;0.012061086167000001;0.012061086166666764
108;2019-02-01;UK;BE;0.0;0.0
26;2019-02-01;NO;DK;0.0020025343330000002;0.0020025343333333495
103;2019-02-01;CH;FR;0.0;0.0
100;2019-02-01;HU;HR;0.012457814667;0.012457814666666766
97;2019-02-01;RU;FI;0.028845130666999997;0.027514605833333552
67;2019-02-01;SK;AT;0.30046856378000003;0.3200465485000025
37;2019-02-01;AT;SK;0.006790264667;0.00679026466666672
38;2019-02-01;IR;TR;0.08609818100000001;0.07077150650000057
90;2019-02-01;BG;TR;0.020759425999999997;0.02075942600000016
87;2019-02-01;PT;ES;0.004145926176;0.004763440833333371
21;2019-02-01;DE;BE;0.028580645;0.028580645000000227
40;2019-02-01;SI;HR;0.002180333473;0.0004318133333333367
45;2019-02-01;DE;AT;0.0199416795;0.01994167950000016
84;2019-02-01;NO;UK;0.3078370265;0.30783702650000244
83;2019-02-01;DE;FR;0.0378673305;0.0378673305000003
47;2019-02-01;BE;DE;0.0011038228329999999;0.001103822833333342
79;2019-02-01;FR;ES;0.054438167167;0.0544381671666671
77;2019-02-01;DE;DK;0.0016603006759999999;0.0
51;2019-02-01;NO;DE;0.25143680749999997;0.25143680750000197
55;2019-02-01;ES;PT;0.002930933;0.002930933000000023
56;2019-02-01;EE;LV;0.0;0.0
72;2019-02-01;RO;HU;0.0;0.0
43;2019-02-01;SE;DK;0.0;0.0
20;2019-02-01;FR;BE;0.0;0.0
94;2019-02-01;RU;RO;0.092219448065;0.09437010516666744
17;2019-02-01;SK;CZ;0.007138187465;0.008382576333333402
115;2019-02-01;RU;PL;0.330191463;0.3301914630000026
16;2019-02-01;RU;SK;0.39918713716699994;0.39918713716666987
113;2019-02-01;IT;AT;0.0;0.0
122;2019-02-01;LY;IT;0.040512187167;0.040512187166666984
