;date;c_1;flow_pred;flow_true
0;2019-01-01;milford haven;0.0681029001;0.0681029001
37;2019-01-01;cartagena;0.013410718739999999;0.013410718740000003
36;2019-01-01;huelva;0.037795433579999996;0.02861983206
35;2019-01-01;sines;0.053142511260000004;0.053142511260000004
34;2019-01-01;mugardos;0.007798365279;0.00743938806
31;2019-01-01;bilbao;0.04022535516;0.04022535516
30;2019-01-01;fos (tonkin/cavaou);0.035474328959999996;0.035474328959999996
27;2019-01-01;isle of grain;0.06871305234;0.06871305234
25;2019-01-01;olt lng / livorno;0.026988549240000003;0.026988549239999996
24;2019-01-01;klaipeda (lng);0.00079572402;0.00079572402
23;2019-01-01;cavarzere (porto levante / adriatic lng);0.06505311048;0.06505311048
22;2019-01-01;dunkerque lng;0.05034047453999999;0.050340474539999985
21;2019-01-01;montoir de bretagne;0.06910459908;0.06910459908
38;2019-01-01;panigaglia;0.01147630296;0.011476302959999999
18;2019-01-01;gate terminal (i);0.0;0.07079611985999999
19;2019-01-01;barcelona;0.05230209456;0.05230209456
14;2019-01-01;sagunto;0.0007860082199999999;0.0007860082199999999
3;2019-01-01;zeebrugge lng;0.04691371188;0.04691371187999999
4;2019-01-01;swinoujscie;0.0308088018;0.030808801799999997
8;2019-01-01;agia triada;0.0313188813;0.0313188813
16;2019-02-01;isle of grain;0.06871305234;0.06603829259999999
1;2019-02-01;dunkerque lng;0.05262368754;0.05262368754
2;2019-02-01;barcelona;0.04727513964;0.04727513964
33;2019-02-01;cavarzere (porto levante / adriatic lng);0.05303175114;0.05303175114
32;2019-02-01;sines;0.053068746747;0.04917943644
5;2019-02-01;panigaglia;0.0154141167;0.0154141167
6;2019-02-01;olt lng / livorno;0.030913732439999998;0.030913732439999998
29;2019-02-01;klaipeda (lng);0.00146417106;0.00146417106
7;2019-02-01;cartagena;0.0086567778;0.0086567778
15;2019-02-01;mugardos;0.00558075552;0.00558075552
26;2019-02-01;swinoujscie;0.02176922148;0.021769221479999996
9;2019-02-01;milford haven;0.0681029001;0.06468488166
10;2019-02-01;agia triada;0.0233859306;0.023385930599999997
11;2019-02-01;bilbao;0.049947761904;0.03668297448
12;2019-02-01;montoir de bretagne;0.03792173898;0.037921738979999994
20;2019-02-01;gate terminal (i);0.0;0.05350782534
13;2019-02-01;zeebrugge lng;0.02821274004;0.02821274004
17;2019-02-01;huelva;0.037795433579999996;0.03779543357999999
28;2019-02-01;fos (tonkin/cavaou);0.06926685294;0.06926685294
39;2019-02-01;sagunto;0.0006898218;0.0006898218
